simulation_id,n_obs,identity_cov_matrix,p_features,link_function,selector,share_of_truth_uncovered,ratio_total_select_coeffs_true_coeffs,false_pos_share_true_support,false_pos_share_right_selection,linear_effect_coverage,conf_int_width
0,2000,True,80,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.93972824 1.0382541 ]
0,2000,False,20,linear_link,boruta_selector,0.7,0.7,0.0,0.0,True,[0.96901849 1.03369427]
0,2000,False,20,linear_link,univariate_feature_selection,0.8,1.5,0.7,0.875,True,[0.96786498 1.03283773]
0,2000,False,20,linear_link,lasso_feature_selection,1.0,1.6,0.6,0.6,True,[0.96211687 1.02562462]
0,2000,False,20,linear_link,adaptive_lasso_tuned,0.8,0.8,0.0,0.0,True,[0.97986549 1.02334774]
0,2000,False,20,polynomial_link,boruta_selector,0.5,0.6,0.1,0.2,,
0,2000,False,20,polynomial_link,univariate_feature_selection,0.4,0.4,0.0,0.0,True,[0.44994403 1.73908316]
0,2000,False,20,polynomial_link,lasso_feature_selection,0.7,0.7,0.0,0.0,True,[0.55143761 1.81787829]
0,2000,False,20,polynomial_link,adaptive_lasso_tuned,0.7,0.9,0.2,0.2857142857142857,True,[0.73819399 1.55658647]
0,2000,False,20,sine_link,boruta_selector,0.2,0.2,0.0,0.0,True,[0.93219265 1.06824797]
0,2000,False,20,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.93150026 1.06739229]
0,2000,False,20,sine_link,lasso_feature_selection,0.2,0.2,0.0,0.0,True,[0.93219265 1.06824797]
0,2000,False,20,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.92925487 1.02617447]
0,2000,False,80,linear_link,boruta_selector,0.7,0.7,0.0,0.0,True,[0.97057371 1.03522803]
0,2000,False,80,linear_link,univariate_feature_selection,0.8,1.1,0.3,0.375,True,[0.97012546 1.03486054]
0,2000,False,80,linear_link,lasso_feature_selection,0.9,2.6,1.7,1.8888888888888888,True,[0.97672202 1.04032519]
0,2000,False,80,linear_link,adaptive_lasso_tuned,0.8,0.8,0.0,0.0,True,[0.97562085 1.01942296]
0,2000,False,80,polynomial_link,boruta_selector,0.5,0.6,0.1,0.2,,
0,2000,False,80,polynomial_link,univariate_feature_selection,0.2,0.2,0.0,0.0,,
0,2000,False,80,polynomial_link,lasso_feature_selection,0.5,0.6,0.1,0.2,,
0,2000,False,80,polynomial_link,adaptive_lasso_tuned,0.5,0.5,0.0,0.0,False,[-0.08772537  0.8010299 ]
0,2000,False,80,sine_link,boruta_selector,0.1,0.3,0.2,2.0,True,[0.91151956 1.04952985]
0,2000,False,80,sine_link,univariate_feature_selection,0.2,0.2,0.0,0.0,True,[0.9109759  1.04886034]
0,2000,False,80,sine_link,lasso_feature_selection,0.2,0.4,0.2,1.0,True,[0.90864818 1.04660657]
0,2000,False,80,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.93070988 1.0291295 ]
1,100,True,20,linear_link,boruta_selector,0.4,0.4,0.0,0.0,,
1,100,True,20,linear_link,univariate_feature_selection,0.8,1.1,0.3,0.375,True,[0.78683624 1.18265167]
1,100,True,20,linear_link,lasso_feature_selection,0.8,1.0,0.2,0.25,True,[0.86627579 1.14592536]
1,100,True,20,linear_link,adaptive_lasso_tuned,0.7,0.7,0.0,0.0,True,[0.93548586 1.12893225]
1,100,True,20,polynomial_link,boruta_selector,0.2,0.2,0.0,0.0,,
1,100,True,20,polynomial_link,univariate_feature_selection,0.2,0.3,0.1,0.5,,
1,100,True,20,polynomial_link,lasso_feature_selection,0.0,0.0,0.0,,,
1,100,True,20,polynomial_link,adaptive_lasso_tuned,0.2,0.3,0.1,0.5,,
1,100,True,20,sine_link,boruta_selector,0.1,0.2,0.1,1.0,True,[0.70341454 1.15377384]
1,100,True,20,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.70748687 1.15286195]
1,100,True,20,sine_link,lasso_feature_selection,0.2,0.5,0.3,1.5,True,[0.7125415  1.16641146]
1,100,True,20,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.76463767 1.13680843]
1,100,True,80,linear_link,boruta_selector,0.2,0.2,0.0,0.0,,
1,100,True,80,linear_link,univariate_feature_selection,0.7,2.1,1.4,2.0,True,[0.85669538 1.46584045]
1,100,True,80,linear_link,lasso_feature_selection,0.7,1.4,0.7,1.0,True,[0.96107387 1.32114232]
1,100,True,80,linear_link,adaptive_lasso_tuned,0.7,0.8,0.1,0.1428571428571428,True,[0.98642584 1.2007565 ]
1,100,True,80,polynomial_link,boruta_selector,0.0,0.1,0.1,,,
1,100,True,80,polynomial_link,univariate_feature_selection,0.0,0.1,0.1,,,
1,100,True,80,polynomial_link,lasso_feature_selection,0.0,0.0,0.0,,,
1,100,True,80,polynomial_link,adaptive_lasso_tuned,0.0,0.3,0.3,,,
1,100,True,80,sine_link,boruta_selector,0.1,0.2,0.1,1.0,True,[0.89772189 1.42660249]
