simulation_id,selector,share_of_truth_uncovered,ratio_total_select_coeffs_true_coeffs,false_pos_share_true_support,false_pos_share_right_selection,linear_effect_coverage
163,adaptive_lasso_tuned,0.7662337662337663,0.7662337662337663,0.0,0.0,0.9152542372881356
164,boruta_selector,0.08,0.08,0.0,0.0,0.16666666666666666
164,univariate_feature_selection,0.9866666666666667,1.16,0.17333333333333334,0.17567567567567569,0.8620689655172413
164,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
164,adaptive_lasso_tuned,1.0,1.0,0.0,0.0,0.8933333333333333
165,boruta_selector,0.06756756756756757,0.06756756756756757,0.0,0.0,0.2
165,univariate_feature_selection,0.9864864864864865,1.1756756756756757,0.1891891891891892,0.1917808219178082,0.6666666666666666
165,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
165,adaptive_lasso_tuned,0.972972972972973,0.9864864864864865,0.013513513513513514,0.013888888888888888,0.8904109589041096
166,boruta_selector,0.10666666666666667,0.10666666666666667,0.0,0.0,0.5
166,univariate_feature_selection,1.0,1.16,0.16,0.16,0.9540229885057471
166,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
166,adaptive_lasso_tuned,0.9733333333333334,0.9733333333333334,0.0,0.0,0.8767123287671232
167,boruta_selector,0.10126582278481013,0.11392405063291139,0.012658227848101266,0.125,0.4444444444444444
167,univariate_feature_selection,0.9873417721518988,1.1012658227848102,0.11392405063291139,0.11538461538461539,0.8045977011494253
167,lasso_feature_selection,0.02531645569620253,0.0379746835443038,0.012658227848101266,0.5,0.0
167,adaptive_lasso_tuned,0.9873417721518988,0.9873417721518988,0.0,0.0,0.8974358974358975
168,boruta_selector,0.17333333333333334,0.17333333333333334,0.0,0.0,0.23076923076923078
168,univariate_feature_selection,0.9866666666666667,1.16,0.17333333333333334,0.17567567567567569,0.896551724137931
168,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
168,adaptive_lasso_tuned,0.9866666666666667,0.9866666666666667,0.0,0.0,0.8918918918918919
169,boruta_selector,0.11688311688311688,0.12987012987012986,0.012987012987012988,0.1111111111111111,0.2
169,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.9080459770114943
169,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
169,adaptive_lasso_tuned,0.974025974025974,0.974025974025974,0.0,0.0,0.88
170,boruta_selector,0.12987012987012986,0.14285714285714285,0.012987012987012988,0.1,0.36363636363636365
170,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.7126436781609196
170,lasso_feature_selection,0.025974025974025976,0.05194805194805195,0.025974025974025976,1.0,0.25
170,adaptive_lasso_tuned,1.0,1.0129870129870129,0.012987012987012988,0.012987012987012988,0.8974358974358975
171,boruta_selector,0.12162162162162163,0.12162162162162163,0.0,0.0,0.1111111111111111
171,univariate_feature_selection,0.9864864864864865,1.1756756756756757,0.1891891891891892,0.1917808219178082,0.8735632183908046
171,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
171,adaptive_lasso_tuned,0.9594594594594594,0.972972972972973,0.013513513513513514,0.014084507042253521,0.8611111111111112
172,boruta_selector,0.13513513513513514,0.13513513513513514,0.0,0.0,0.3
